OBJECTID,CODE_INS,NOM,SCE_SEM,SCE_GEO,MODIF,ORIGINE,PCode,_ID
1,82,Kasaï-Oriental,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD82,1
2,51,Tshopo,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD51,2
3,54,Ituri,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD54,3
4,20,Kongo-Central,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD20,4
14,33,Maï-Ndombe,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD33,5
18,32,Kwilu,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD32,6
23,31,Kwango,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD31,7
32,41,Equateur,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD41,8
39,42,Sud-Ubangi,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD42,9
45,43,Nord-Ubangi,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD43,10
47,44,Mongala,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD44,11
50,45,Tshuapa,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD45,12
62,52,Bas-Uele,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD52,13
68,53,Haut-Uele,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD53,14
78,61,Nord-Kivu,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD61,15
83,63,Maniema,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD63,16
87,72,Lualaba,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD72,17
92,73,Haut-Lomami,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD73,18
97,74,Tanganyika,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD74,19
102,71,Haut-Katanga,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD71,20
112,83,Sankuru,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD83,21
118,81,Lomami,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD81,22
123,91,Kasaï-Central,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD91,23
128,92,Kasaï,INS,UNOCHA / UNDP,20100618,Numerisation Saint Moulin,CD92,24
136,62,Sud-Kivu,INS,UNDP,20100618,Image satellite / Numerisation Saint Mouin,CD62,25
146,10,Kinshasa,,,18991230,,CD10,26
