winyear,SUMW,N,RAWMEAN,RAWSEM,RAWLOWCI,RAWHIGHCI,ADJMEAN,ADJSEM,LOWCI,HIGHCI,VARIABLE,DATASET,WHERE
middle_2010,1172,262,0.8893129771,0.0193831797,0.8513219449,0.9273040093,0.8980892283,0.0171996011,0.8643780101,0.9318004464,ANCp,rdata,(1 EQ 1)
middle_2018,1132,224,0.9464285714,0.0150448037,0.9169407561,0.9759163867,0.9514870436,0.0125915855,0.926807536,0.9761665512,ANCp,rdata,(1 EQ 1)
poor_2010,1059,180,0.9,0.0223606798,0.8561730676,0.9438269324,0.8979832726,0.0208509383,0.8571154335,0.9388511117,ANCp,rdata,(1 EQ 1)
poor_2018,1064,172,0.9244186047,0.0201547571,0.8849152808,0.9639219285,0.9179936448,0.0187531685,0.8812374345,0.9547498552,ANCp,rdata,(1 EQ 1)
poorest_2010,804,77,0.8961038961,0.0347723027,0.8279501829,0.9642576093,0.9097844113,0.0294188365,0.8521234918,0.9674453308,ANCp,rdata,(1 EQ 1)
poorest_2018,1049,155,0.9032258065,0.0237471831,0.8566813277,0.9497702852,0.9267556403,0.019162488,0.8891971639,0.9643141167,ANCp,rdata,(1 EQ 1)
wealth_2010,1350,294,0.9489795918,0.0128329569,0.9238269963,0.9741321874,0.9428042328,0.0134187157,0.91650355,0.9691049156,ANCp,rdata,(1 EQ 1)
wealth_2018,897,123,0.9756097561,0.0139089256,0.948348262,1.0028712502,0.986436269,0.0052580823,0.9761304278,0.9967421103,ANCp,rdata,(1 EQ 1)
wealthest_2010,536,118,0.9745762712,0.0144906056,0.9461746842,1.0029778582,0.9822761194,0.0090361574,0.9645652509,0.9999869879,ANCp,rdata,(1 EQ 1)
wealthest_2018,188,54,0.962962963,0.0256995802,0.9125917857,1.0133341402,0.9728976697,0.0183704443,0.9368915989,1.0089037405,ANCp,rdata,(1 EQ 1)
