province_year,SUMW,N,RAWMEAN,RAWSEM,RAWLOWCI,RAWHIGHCI,ADJMEAN,ADJSEM,LOWCI,HIGHCI,VARIABLE,DATASET,WHERE
Bandundu_2010,7912,416,0.8461538462,0.0176897348,0.8114819659,0.8808257264,0.8436198481,0.0120327919,0.8200355759,0.8672041202,dvp,rdata,(1 EQ 1)
Bandundu_2018,9012,840,0.8404761905,0.012633853,0.8157138385,0.8652385424,0.8435214296,0.0096155329,0.8246749851,0.862367874,dvp,rdata,(1 EQ 1)
Bas Congo_2010,6338,342,0.9444444444,0.0123862232,0.9201674469,0.968721442,0.9525244557,0.0093062067,0.9342842906,0.9707646207,dvp,rdata,(1 EQ 1)
Bas Congo_2018,6104,263,0.9391634981,0.0147392317,0.910274604,0.9680523922,0.942087156,0.0078199074,0.9267601375,0.9574141744,dvp,rdata,(1 EQ 1)
Equateur_2010,8157,477,0.5094339623,0.0228893519,0.4645708324,0.5542970921,0.5302763226,0.0165190574,0.4978989702,0.5626536751,dvp,rdata,(1 EQ 1)
Equateur_2018,9909,1665,0.5861861862,0.0120701638,0.5625286652,0.6098437072,0.6297960665,0.0102903048,0.6096270691,0.649965064,dvp,rdata,(1 EQ 1)
Kasai Occidental_2010,8081,452,0.6946902655,0.0216619084,0.652232925,0.7371476059,0.698069984,0.0150922508,0.6684891724,0.7276507957,dvp,rdata,(1 EQ 1)
Kasai Occidental_2018,8491,759,0.7707509881,0.0152577289,0.7408458395,0.8006561367,0.8006794373,0.0125268036,0.7761269023,0.8252319724,dvp,rdata,(1 EQ 1)
Kasai Oriental_2010,8354,455,0.6967032967,0.0215502384,0.6544648294,0.738941764,0.6847962594,0.0168288353,0.6518117422,0.7177807765,dvp,rdata,(1 EQ 1)
Kasai Oriental_2018,9639,1129,0.6687333924,0.0140077494,0.6412782035,0.6961885812,0.6493137268,0.0120851477,0.6256268372,0.6730006163,dvp,rdata,(1 EQ 1)
Katanga_2010,8285,543,0.6279926335,0.0207421194,0.5873380795,0.6686471875,0.5514724275,0.017829237,0.516527123,0.5864177321,dvp,rdata,(1 EQ 1)
Katanga_2018,10431,1422,0.6666666667,0.0125009767,0.6421647524,0.691168581,0.6383340897,0.0114249197,0.6159412472,0.6607269322,dvp,rdata,(1 EQ 1)
Kinshasa_2010,2252,364,0.9587912088,0.0104185257,0.9383708984,0.9792115192,0.9746477676,0.0061919108,0.9625116225,0.9867839128,dvp,rdata,(1 EQ 1)
Kinshasa_2018,2176,255,0.9960784314,0.0039138717,0.9884072428,1.00374962,0.9984681373,0.0012507607,0.9960166463,1.0009196282,dvp,rdata,(1 EQ 1)
Maniema_2010,7581,424,0.7051886792,0.0221432731,0.661787864,0.7485894945,0.7042043287,0.0148923851,0.6750152539,0.7333934035,dvp,rdata,(1 EQ 1)
Maniema_2018,6664,324,0.712962963,0.0251321677,0.6637039143,0.7622220116,0.7217783542,0.0148647612,0.6926434222,0.7509132862,dvp,rdata,(1 EQ 1)
Nord Kivu_2010,6879,449,0.9532293987,0.0099646493,0.933698686,0.9727601114,0.9521030188,0.0115810472,0.9294041664,0.9748018713,dvp,rdata,(1 EQ 1)
Nord Kivu_2018,7729,339,0.9764011799,0.0082444074,0.9602421415,0.9925602184,0.9687195411,0.0033455505,0.9621622622,0.9752768201,dvp,rdata,(1 EQ 1)
Orientale_2010,7284,355,0.8253521127,0.0201505602,0.7858570146,0.8648472108,0.7995557778,0.0148496639,0.7704504365,0.8286611191,dvp,rdata,(1 EQ 1)
Orientale_2018,10624,1169,0.8494439692,0.0104594583,0.828943431,0.8699445074,0.8674414324,0.0086980685,0.8503932182,0.8844896466,dvp,rdata,(1 EQ 1)
Sud Kivu_2010,7112,482,0.8029045643,0.0181195216,0.7673903019,0.8384188267,0.8301500259,0.0101415632,0.8102725621,0.8500274897,dvp,rdata,(1 EQ 1)
Sud Kivu_2018,8104,389,0.8611825193,0.0175305233,0.8268226935,0.895542345,0.8362184459,0.0111686617,0.814327869,0.8581090228,dvp,rdata,(1 EQ 1)
