upy,SUMW,N,RAWMEAN,RAWSEM,RAWLOWCI,RAWHIGHCI,ADJMEAN,ADJSEM,LOWCI,HIGHCI,VARIABLE,DATASET,WHERE
2010_rural_Bandundu,6946,299,0.7926421405,0.0234457017,0.7466885651,0.8385957158,0.8055253338,0.0152294991,0.7756755155,0.835375152,dvp,rdata,(1 EQ 1)
2010_rural_Bas Congo,6816,233,0.9184549356,0.0179287415,0.8833146023,0.953595269,0.9258607199,0.0140744838,0.8982747317,0.9534467081,dvp,rdata,(1 EQ 1)
2010_rural_Equateur,7214,360,0.3861111111,0.0256595943,0.3358183062,0.436403916,0.4157708351,0.0198288478,0.3769062934,0.4546353767,dvp,rdata,(1 EQ 1)
2010_rural_Kasai Occidental,6825,326,0.5981595092,0.0271535461,0.5449385589,0.6513804595,0.6172978003,0.0197815888,0.5785258862,0.6560697144,dvp,rdata,(1 EQ 1)
2010_rural_Kasai Oriental,8114,332,0.6144578313,0.0267124021,0.5621015233,0.6668141394,0.633362188,0.0219803057,0.5902807888,0.6764435872,dvp,rdata,(1 EQ 1)
2010_rural_Katanga,8023,359,0.4986072423,0.0263888883,0.4468850212,0.5503294634,0.4745655843,0.0209068434,0.4335881712,0.5155429974,dvp,rdata,(1 EQ 1)
2010_rural_Maniema,7067,296,0.5878378378,0.0286099417,0.5317623521,0.6439133236,0.6116518538,0.0186343649,0.5751284986,0.648175209,dvp,rdata,(1 EQ 1)
2010_rural_Nord Kivu,6343,331,0.9425981873,0.0127853349,0.917538931,0.9676574436,0.9499921173,0.0103313141,0.9297427416,0.970241493,dvp,rdata,(1 EQ 1)
2010_rural_Orientale,6031,190,0.7263157895,0.0323452724,0.6629190555,0.7897125235,0.7482175427,0.0192800257,0.7104286924,0.786006393,dvp,rdata,(1 EQ 1)
2010_rural_Sud Kivu,7495,356,0.7640449438,0.0225034497,0.7199381825,0.8081517051,0.8068363565,0.0126970087,0.7819502195,0.8317224935,dvp,rdata,(1 EQ 1)
2010_urban_Bandundu,3323,117,0.9829059829,0.0119835399,0.9594182447,1.0063937211,0.9742200823,0.0157526078,0.9433449709,1.0050951936,dvp,rdata,(1 EQ 1)
2010_urban_Bas Congo,2090,109,1,0,1,1,1,0,1,1,dvp,rdata,(1 EQ 1)
2010_urban_Equateur,4736,117,0.8888888889,0.0290542422,0.8319425741,0.9458352037,0.9003730293,0.020625032,0.8599479665,0.9407980921,dvp,rdata,(1 EQ 1)
2010_urban_Kasai Occidental,4815,126,0.9444444444,0.0204064135,0.9044478739,0.9844410149,0.9455273698,0.0115648457,0.9228602723,0.9681944673,dvp,rdata,(1 EQ 1)
2010_urban_Kasai Oriental,3687,123,0.918699187,0.0246423178,0.8704002441,0.9669981299,0.8681690789,0.0115893708,0.8454539122,0.8908842456,dvp,rdata,(1 EQ 1)
